gta_property_id,car_id,match_status,match_rule
GTA_RO_0001,CAR_RO_0001,matched,R1_tax_property_municipality
GTA_RO_0002,,unmatched_or_ambiguous,
GTA_RO_0003,CAR_RO_0003,matched,R1_tax_property_municipality
GTA_RO_0004,CAR_RO_0004,matched,R1_tax_property_municipality
GTA_RO_0005,CAR_RO_0005,matched,R1_tax_property_municipality
GTA_RO_0006,,unmatched_or_ambiguous,
GTA_RO_0007,CAR_RO_0007,matched,R1_tax_property_municipality
GTA_RO_0008,CAR_RO_0008,matched,R1_tax_property_municipality
GTA_RO_0009,CAR_RO_0009,matched,R1_tax_property_municipality
GTA_RO_0010,CAR_RO_0010,matched,R1_tax_property_municipality
GTA_RO_0011,CAR_RO_0011,matched,R1_tax_property_municipality
GTA_RO_0012,CAR_RO_0012,matched,R1_tax_property_municipality
GTA_RO_0013,,unmatched_or_ambiguous,
GTA_RO_0014,CAR_RO_0014,matched,R1_tax_property_municipality
GTA_RO_0015,,unmatched_or_ambiguous,
GTA_RO_0016,CAR_RO_0016,matched,R1_tax_property_municipality
GTA_RO_0017,CAR_RO_0017,matched,R1_tax_property_municipality
GTA_RO_0018,CAR_RO_0018,matched,R1_tax_property_municipality
GTA_RO_0019,CAR_RO_0019,matched,R1_tax_property_municipality
GTA_RO_0020,,unmatched_or_ambiguous,
GTA_RO_0021,CAR_RO_0021,matched,R1_tax_property_municipality
GTA_RO_0022,CAR_RO_0022,matched,R1_tax_property_municipality
GTA_RO_0023,CAR_RO_0023,matched,R1_tax_property_municipality
GTA_RO_0024,CAR_RO_0024,matched,R1_tax_property_municipality
GTA_RO_0025,CAR_RO_0025,matched,R1_tax_property_municipality
GTA_RO_0026,CAR_RO_0026,matched,R1_tax_property_municipality
GTA_RO_0027,,unmatched_or_ambiguous,
GTA_RO_0028,CAR_RO_0028,matched,R1_tax_property_municipality
GTA_RO_0029,CAR_RO_0029,matched,R1_tax_property_municipality
GTA_RO_0030,CAR_RO_0030,matched,R1_tax_property_municipality
GTA_RO_0031,,unmatched_or_ambiguous,
GTA_RO_0032,CAR_RO_0032,matched,R1_tax_property_municipality
GTA_RO_0033,CAR_RO_0033,matched,R1_tax_property_municipality
GTA_RO_0034,CAR_RO_0034,matched,R1_tax_property_municipality
GTA_RO_0035,CAR_RO_0035,matched,R1_tax_property_municipality
GTA_RO_0036,CAR_RO_0036,matched,R1_tax_property_municipality
GTA_RO_0037,CAR_RO_0037,matched,R1_tax_property_municipality
GTA_RO_0038,CAR_RO_0038,matched,R1_tax_property_municipality
GTA_RO_0039,CAR_RO_0039,matched,R1_tax_property_municipality
GTA_RO_0040,CAR_RO_0040,matched,R1_tax_property_municipality
GTA_RO_0041,CAR_RO_0041,matched,R1_tax_property_municipality
GTA_RO_0042,CAR_RO_0042,matched,R1_tax_property_municipality
GTA_RO_0043,CAR_RO_0043,matched,R1_tax_property_municipality
GTA_RO_0044,CAR_RO_0044,matched,R1_tax_property_municipality
GTA_RO_0045,CAR_RO_0045,matched,R1_tax_property_municipality
GTA_RO_0046,CAR_RO_0046,matched,R1_tax_property_municipality
GTA_RO_0047,CAR_RO_0047,matched,R1_tax_property_municipality
GTA_RO_0048,CAR_RO_0048,matched,R1_tax_property_municipality
GTA_RO_0049,CAR_RO_0049,matched,R1_tax_property_municipality
GTA_RO_0050,CAR_RO_0050,matched,R1_tax_property_municipality
GTA_RO_0051,,unmatched_or_ambiguous,
GTA_RO_0052,CAR_RO_0052,matched,R1_tax_property_municipality
GTA_RO_0053,CAR_RO_0053,matched,R1_tax_property_municipality
GTA_RO_0054,,unmatched_or_ambiguous,
GTA_RO_0055,,unmatched_or_ambiguous,
GTA_RO_0056,CAR_RO_0056,matched,R1_tax_property_municipality
GTA_RO_0057,CAR_RO_0057,matched,R1_tax_property_municipality
GTA_RO_0058,CAR_RO_0058,matched,R1_tax_property_municipality
GTA_RO_0059,,unmatched_or_ambiguous,
GTA_RO_0060,CAR_RO_0060,matched,R1_tax_property_municipality
GTA_RO_0061,,unmatched_or_ambiguous,
GTA_RO_0062,CAR_RO_0062,matched,R1_tax_property_municipality
GTA_RO_0063,CAR_RO_0063,matched,R1_tax_property_municipality
GTA_RO_0064,,unmatched_or_ambiguous,
GTA_RO_0065,,unmatched_or_ambiguous,
GTA_RO_0066,,unmatched_or_ambiguous,
GTA_RO_0067,CAR_RO_0067,matched,R1_tax_property_municipality
GTA_RO_0068,CAR_RO_0068,matched,R1_tax_property_municipality
GTA_RO_0069,CAR_RO_0069,matched,R1_tax_property_municipality
