transaction_id,year,origin_gta_property_id,destination_type,destination_id,purpose,heads
TX00000001,2013,GTA_RO_0001,slaughterhouse,SH_RO_01,slaughter,219
TX00000002,2013,GTA_RO_0001,slaughterhouse,SH_RO_02,slaughter,31
TX00000003,2013,GTA_RO_0001,property,GTA_RO_0005,fattening,105
TX00000004,2013,GTA_RO_0001,property,GTA_RO_0005,other,10
TX00000005,2013,GTA_RO_0002,slaughterhouse,SH_RO_02,slaughter,221
TX00000006,2013,GTA_RO_0002,property,GTA_RO_0006,breeding,118
TX00000007,2013,GTA_RO_0003,property,GTA_RO_0007,other,88
TX00000008,2013,GTA_RO_0004,slaughterhouse,SH_RO_03,slaughter,190
TX00000009,2013,GTA_RO_0004,property,GTA_RO_0012,fattening,63
TX00000010,2013,GTA_RO_0005,slaughterhouse,SH_RO_02,slaughter,174
TX00000011,2013,GTA_RO_0005,slaughterhouse,SH_RO_01,slaughter,47
TX00000012,2013,GTA_RO_0005,property,GTA_RO_0009,breeding,61
TX00000013,2013,GTA_RO_0006,slaughterhouse,SH_RO_01,slaughter,208
TX00000014,2013,GTA_RO_0006,property,GTA_RO_0010,other,62
TX00000015,2013,GTA_RO_0007,slaughterhouse,SH_RO_02,slaughter,146
TX00000016,2013,GTA_RO_0007,slaughterhouse,SH_RO_03,slaughter,28
TX00000017,2013,GTA_RO_0007,property,GTA_RO_0011,fattening,86
TX00000018,2013,GTA_RO_0008,property,GTA_RO_0012,breeding,108
TX00000019,2013,GTA_RO_0009,slaughterhouse,SH_RO_02,slaughter,236
TX00000020,2013,GTA_RO_0009,slaughterhouse,SH_RO_01,slaughter,46
TX00000021,2013,GTA_RO_0009,property,GTA_RO_0017,other,82
TX00000022,2013,GTA_RO_0010,slaughterhouse,SH_RO_02,slaughter,179
TX00000023,2013,GTA_RO_0010,property,GTA_RO_0014,fattening,81
TX00000024,2013,GTA_RO_0011,slaughterhouse,SH_RO_04,slaughter,245
TX00000025,2013,GTA_RO_0011,slaughterhouse,SH_RO_03,slaughter,38
TX00000026,2013,GTA_RO_0011,property,GTA_RO_0015,breeding,49
