gta_property_id,true_car_id,expected_match,deliberately_ambiguous
GTA_RO_0001,CAR_RO_0001,True,False
GTA_RO_0002,,False,True
GTA_RO_0003,CAR_RO_0003,True,False
GTA_RO_0004,CAR_RO_0004,True,False
GTA_RO_0005,CAR_RO_0005,True,False
GTA_RO_0006,CAR_RO_0006,True,False
GTA_RO_0007,CAR_RO_0007,True,False
GTA_RO_0008,CAR_RO_0008,True,False
GTA_RO_0009,CAR_RO_0009,True,False
GTA_RO_0010,CAR_RO_0010,True,False
GTA_RO_0011,CAR_RO_0011,True,False
GTA_RO_0012,,False,False
GTA_RO_0013,CAR_RO_0013,True,False
GTA_RO_0014,CAR_RO_0014,True,False
GTA_RO_0015,,False,True
GTA_RO_0016,CAR_RO_0016,True,False
GTA_RO_0017,,False,False
GTA_RO_0018,CAR_RO_0018,True,False
GTA_RO_0019,,False,False
GTA_RO_0020,CAR_RO_0020,True,False
GTA_RO_0021,,False,False
GTA_RO_0022,CAR_RO_0022,True,False
GTA_RO_0023,CAR_RO_0023,True,False
GTA_RO_0024,CAR_RO_0024,True,False
GTA_RO_0025,CAR_RO_0025,True,False
GTA_RO_0026,CAR_RO_0026,True,False
GTA_RO_0027,CAR_RO_0027,True,False
GTA_RO_0028,,False,False
GTA_RO_0029,CAR_RO_0029,True,False
GTA_RO_0030,CAR_RO_0030,True,False
GTA_RO_0031,CAR_RO_0031,True,False
GTA_RO_0032,CAR_RO_0032,True,False
GTA_RO_0033,CAR_RO_0033,True,False
GTA_RO_0034,CAR_RO_0034,True,False
GTA_RO_0035,,False,False
GTA_RO_0036,CAR_RO_0036,True,False
GTA_RO_0037,CAR_RO_0037,True,False
GTA_RO_0038,CAR_RO_0038,True,False
GTA_RO_0039,CAR_RO_0039,True,False
GTA_RO_0040,,False,False
GTA_RO_0041,CAR_RO_0041,True,False
GTA_RO_0042,,False,True
GTA_RO_0043,CAR_RO_0043,True,False
GTA_RO_0044,CAR_RO_0044,True,False
GTA_RO_0045,CAR_RO_0045,True,False
GTA_RO_0046,CAR_RO_0046,True,False
GTA_RO_0047,,False,False
GTA_RO_0048,CAR_RO_0048,True,False
GTA_RO_0049,CAR_RO_0049,True,False
GTA_RO_0050,CAR_RO_0050,True,False
GTA_RO_0051,CAR_RO_0051,True,False
GTA_RO_0052,,False,False
GTA_RO_0053,CAR_RO_0053,True,False
GTA_RO_0054,CAR_RO_0054,True,False
GTA_RO_0055,CAR_RO_0055,True,False
GTA_RO_0056,CAR_RO_0056,True,False
GTA_RO_0057,CAR_RO_0057,True,False
GTA_RO_0058,,False,False
GTA_RO_0059,,False,False
GTA_RO_0060,CAR_RO_0060,True,False
GTA_RO_0061,CAR_RO_0061,True,False
GTA_RO_0062,CAR_RO_0062,True,False
GTA_RO_0063,CAR_RO_0063,True,False
GTA_RO_0064,CAR_RO_0064,True,False
GTA_RO_0065,CAR_RO_0065,True,False
GTA_RO_0066,CAR_RO_0066,True,False
GTA_RO_0067,,False,False
GTA_RO_0068,,False,False
GTA_RO_0069,CAR_RO_0069,True,False
GTA_RO_0070,CAR_RO_0070,True,False
GTA_RO_0071,CAR_RO_0071,True,False
GTA_RO_0072,CAR_RO_0072,True,False
GTA_MT_0001,CAR_MT_0001,True,False
GTA_MT_0002,CAR_MT_0002,True,False
GTA_MT_0003,CAR_MT_0003,True,False
GTA_MT_0004,CAR_MT_0004,True,False
GTA_MT_0005,CAR_MT_0005,True,False
GTA_MT_0006,CAR_MT_0006,True,False
GTA_MT_0007,CAR_MT_0007,True,False
GTA_MT_0008,CAR_MT_0008,True,False
GTA_MT_0009,CAR_MT_0009,True,False
GTA_MT_0010,CAR_MT_0010,True,False
GTA_MT_0011,,False,False
GTA_MT_0012,,False,False
GTA_MT_0013,CAR_MT_0013,True,False
GTA_MT_0014,CAR_MT_0014,True,False
GTA_MT_0015,,False,True
GTA_MT_0016,CAR_MT_0016,True,False
GTA_MT_0017,,False,False
GTA_MT_0018,,False,False
GTA_MT_0019,,False,False
GTA_MT_0020,CAR_MT_0020,True,False
GTA_MT_0021,CAR_MT_0021,True,False
GTA_MT_0022,CAR_MT_0022,True,False
GTA_MT_0023,CAR_MT_0023,True,False
GTA_MT_0024,,False,False
GTA_MT_0025,,False,False
GTA_MT_0026,CAR_MT_0026,True,False
GTA_MT_0027,CAR_MT_0027,True,False
GTA_MT_0028,,False,False
GTA_MT_0029,,False,False
GTA_MT_0030,,False,False
GTA_MT_0031,CAR_MT_0031,True,False
GTA_MT_0032,CAR_MT_0032,True,False
GTA_MT_0033,CAR_MT_0033,True,False
GTA_MT_0034,CAR_MT_0034,True,False
GTA_MT_0035,,False,False
GTA_MT_0036,CAR_MT_0036,True,False
GTA_MT_0037,CAR_MT_0037,True,False
GTA_MT_0038,CAR_MT_0038,True,False
GTA_MT_0039,,False,True
GTA_MT_0040,CAR_MT_0040,True,False
GTA_MT_0041,CAR_MT_0041,True,False
GTA_MT_0042,CAR_MT_0042,True,False
GTA_MT_0043,CAR_MT_0043,True,False
GTA_MT_0044,CAR_MT_0044,True,False
GTA_MT_0045,CAR_MT_0045,True,False
GTA_MT_0046,CAR_MT_0046,True,False
GTA_MT_0047,CAR_MT_0047,True,False
GTA_MT_0048,CAR_MT_0048,True,False
GTA_MT_0049,CAR_MT_0049,True,False
GTA_MT_0050,,False,False
GTA_MT_0051,CAR_MT_0051,True,False
GTA_MT_0052,CAR_MT_0052,True,False
GTA_MT_0053,CAR_MT_0053,True,False
GTA_MT_0054,CAR_MT_0054,True,False
GTA_MT_0055,CAR_MT_0055,True,False
GTA_MT_0056,CAR_MT_0056,True,False
GTA_MT_0057,,False,False
GTA_MT_0058,CAR_MT_0058,True,False
GTA_MT_0059,CAR_MT_0059,True,False
GTA_MT_0060,CAR_MT_0060,True,False
GTA_MT_0061,CAR_MT_0061,True,False
GTA_MT_0062,CAR_MT_0062,True,False
GTA_MT_0063,CAR_MT_0063,True,False
GTA_MT_0064,,False,False
GTA_MT_0065,,False,False
GTA_MT_0066,CAR_MT_0066,True,False
GTA_MT_0067,CAR_MT_0067,True,False
GTA_MT_0068,CAR_MT_0068,True,False
GTA_MT_0069,CAR_MT_0069,True,False
GTA_MT_0070,CAR_MT_0070,True,False
GTA_MT_0071,CAR_MT_0071,True,False
GTA_MT_0072,,False,False
GTA_PA_0001,,False,False
GTA_PA_0002,CAR_PA_0002,True,False
GTA_PA_0003,CAR_PA_0003,True,False
GTA_PA_0004,CAR_PA_0004,True,False
GTA_PA_0005,,False,False
GTA_PA_0006,,False,False
GTA_PA_0007,CAR_PA_0007,True,False
GTA_PA_0008,,False,True
GTA_PA_0009,CAR_PA_0009,True,False
GTA_PA_0010,CAR_PA_0010,True,False
GTA_PA_0011,CAR_PA_0011,True,False
GTA_PA_0012,CAR_PA_0012,True,False
GTA_PA_0013,CAR_PA_0013,True,False
GTA_PA_0014,CAR_PA_0014,True,False
GTA_PA_0015,CAR_PA_0015,True,False
GTA_PA_0016,,False,False
GTA_PA_0017,CAR_PA_0017,True,False
GTA_PA_0018,CAR_PA_0018,True,False
GTA_PA_0019,CAR_PA_0019,True,False
GTA_PA_0020,CAR_PA_0020,True,False
GTA_PA_0021,CAR_PA_0021,True,False
GTA_PA_0022,CAR_PA_0022,True,False
GTA_PA_0023,CAR_PA_0023,True,False
GTA_PA_0024,CAR_PA_0024,True,False
GTA_PA_0025,CAR_PA_0025,True,False
GTA_PA_0026,CAR_PA_0026,True,False
GTA_PA_0027,CAR_PA_0027,True,False
GTA_PA_0028,CAR_PA_0028,True,False
GTA_PA_0029,CAR_PA_0029,True,False
GTA_PA_0030,CAR_PA_0030,True,False
GTA_PA_0031,,False,False
GTA_PA_0032,CAR_PA_0032,True,False
GTA_PA_0033,CAR_PA_0033,True,False
GTA_PA_0034,CAR_PA_0034,True,False
GTA_PA_0035,CAR_PA_0035,True,False
GTA_PA_0036,CAR_PA_0036,True,False
GTA_PA_0037,CAR_PA_0037,True,False
GTA_PA_0038,CAR_PA_0038,True,False
GTA_PA_0039,CAR_PA_0039,True,False
GTA_PA_0040,,False,True
GTA_PA_0041,,False,False
GTA_PA_0042,CAR_PA_0042,True,False
GTA_PA_0043,,False,False
GTA_PA_0044,CAR_PA_0044,True,False
GTA_PA_0045,CAR_PA_0045,True,False
GTA_PA_0046,CAR_PA_0046,True,False
GTA_PA_0047,,False,False
GTA_PA_0048,CAR_PA_0048,True,False
GTA_PA_0049,CAR_PA_0049,True,False
GTA_PA_0050,CAR_PA_0050,True,False
GTA_PA_0051,CAR_PA_0051,True,False
GTA_PA_0052,CAR_PA_0052,True,False
