slaughterhouse_id,year,annual_heads
SH_MT_01,2013,2500
SH_MT_01,2014,2758
SH_MT_01,2015,2413
SH_MT_01,2016,2689
SH_MT_01,2017,2859
SH_MT_01,2018,2297
SH_MT_02,2013,2273
SH_MT_02,2014,2081
SH_MT_02,2015,1828
SH_MT_02,2016,2237
SH_MT_02,2017,1714
SH_MT_02,2018,2295
SH_MT_03,2013,2193
SH_MT_03,2014,2376
SH_MT_03,2015,2057
SH_MT_03,2016,2569
SH_MT_03,2017,2068
SH_MT_03,2018,2095
SH_MT_04,2013,1941
SH_MT_04,2014,1909
SH_MT_04,2015,2289
SH_MT_04,2016,2052
SH_MT_04,2017,2828
SH_MT_04,2018,2041
SH_PA_01,2013,1731
SH_PA_01,2014,1898
SH_PA_01,2015,2635
SH_PA_01,2016,2258
SH_PA_01,2017,1590
SH_PA_01,2018,1635
SH_PA_02,2013,3211
SH_PA_02,2014,2952
SH_PA_02,2015,3089
SH_PA_02,2016,2799
SH_PA_02,2017,2960
SH_PA_02,2018,3094
SH_PA_03,2013,2778
SH_PA_03,2014,2668
SH_PA_03,2015,2826
SH_PA_03,2016,2862
SH_PA_03,2017,2789
SH_PA_03,2018,2638
SH_PA_04,2013,2005
SH_PA_04,2014,1907
SH_PA_04,2015,2239
SH_PA_04,2016,1874
SH_PA_04,2017,1550
SH_PA_04,2018,1994
SH_RO_01,2013,1992
SH_RO_01,2014,2217
SH_RO_01,2015,1420
SH_RO_01,2016,2230
SH_RO_01,2017,2058
SH_RO_01,2018,2044
SH_RO_02,2013,3535
SH_RO_02,2014,3397
SH_RO_02,2015,3646
SH_RO_02,2016,2598
SH_RO_02,2017,3416
SH_RO_02,2018,3584
SH_RO_03,2013,2195
SH_RO_03,2014,2818
SH_RO_03,2015,2761
SH_RO_03,2016,2831
SH_RO_03,2017,2400
SH_RO_03,2018,2362
SH_RO_04,2013,1916
SH_RO_04,2014,1901
SH_RO_04,2015,1080
SH_RO_04,2016,2003
SH_RO_04,2017,1803
SH_RO_04,2018,2003
