state,years_present,area_ha,percent_of_ever_covered
ALL,1,750000.0,4.844961240310077
ALL,2,1470000.0,9.496124031007753
ALL,3,1460000.0,9.431524547803617
ALL,4,3700000.0,23.901808785529717
ALL,5,4320000.0,27.906976744186046
ALL,6,3780000.0,24.41860465116279
RO,1,510000.0,20.56451612903226
RO,2,370000.0,14.919354838709678
RO,3,250000.0,10.080645161290322
RO,4,800000.0,32.25806451612903
RO,5,330000.0,13.306451612903226
RO,6,220000.0,8.870967741935484
MT,1,40000.0,0.373134328358209
MT,2,890000.0,8.302238805970148
MT,3,870000.0,8.115671641791044
MT,4,2290000.0,21.361940298507463
MT,5,3390000.0,31.62313432835821
MT,6,3240000.0,30.223880597014926
PA,1,200000.0,8.771929824561404
PA,2,210000.0,9.210526315789474
PA,3,340000.0,14.912280701754385
PA,4,610000.0,26.75438596491228
PA,5,600000.0,26.31578947368421
PA,6,320000.0,14.035087719298245
