zone_type,year,temporal_scope,area_ha
CA_direct,0,2013_2018_union,15616578.435882984
CA_direct,2013,annual_union,11205160.311688013
CA_direct,2014,annual_union,10919852.265508093
CA_direct,2015,annual_union,10579111.530105624
CA_direct,2016,annual_union,11247060.341637574
CA_direct,2017,annual_union,11194952.716045674
CA_direct,2018,annual_union,12125347.285001319
CA_tier1_indirect,0,2013_2018_union,1333395.4719113167
CA_tier1_indirect,2013,annual_union,517297.07569418906
CA_tier1_indirect,2014,annual_union,343130.0686488232
CA_tier1_indirect,2015,annual_union,135821.17770956468
CA_tier1_indirect,2016,annual_union,207232.11830732154
CA_tier1_indirect,2017,annual_union,156502.83972441356
CA_tier1_indirect,2018,annual_union,517297.07569418906
non_CA_direct,0,2013_2018_union,16715285.22105337
non_CA_direct,2013,annual_union,7819925.8527823
non_CA_direct,2014,annual_union,9521274.16519946
non_CA_direct,2015,annual_union,9048640.52119144
non_CA_direct,2016,annual_union,9465765.650232848
non_CA_direct,2017,annual_union,10410300.998955242
non_CA_direct,2018,annual_union,7255083.127214936
non_CA_tier1_indirect,0,2013_2018_union,2152285.9861419764
non_CA_tier1_indirect,2013,annual_union,723868.7177489124
non_CA_tier1_indirect,2014,annual_union,138660.69955182742
non_CA_tier1_indirect,2015,annual_union,429543.16945879365
non_CA_tier1_indirect,2016,annual_union,606845.350559767
non_CA_tier1_indirect,2017,annual_union,294513.1634940522
non_CA_tier1_indirect,2018,annual_union,332249.63830111787
