zone_type,period,year,deforestation_ha,emissions_mtco2e
CA_direct,through_2007,2007,1825.7748523456135,0.11121321818685927
CA_direct,annual_2008_2018,2011,131.88877457150974,0.011431360489369324
CA_direct,annual_2008_2018,2013,1038.9627684747018,0.4611054445811762
CA_tier1_indirect,through_2007,2007,5.20551684289745,0.00041024901688748263
CA_tier1_indirect,annual_2008_2018,2018,490.5225249702389,0.03947765426859964
non_CA_direct,through_2007,2007,228.43070033858507,0.013403831420955234
non_CA_direct,annual_2008_2018,2008,194.19400790025415,0.06077395893620684
non_CA_direct,annual_2008_2018,2010,539.7412702358819,0.03533046824002432
non_CA_direct,annual_2008_2018,2011,662.6443810687174,0.30205633204153487
non_CA_direct,annual_2008_2018,2013,882.6969793979304,0.45479152094439923
non_CA_direct,annual_2008_2018,2015,91.7137909771244,0.008835293626670487
non_CA_tier1_indirect,annual_2008_2018,2010,539.7412702358819,0.03533046824002432
