distance_type,slaughterhouse_id,year,entity_id,distance_km
tier1_to_nearest_direct,SH_MT_01,2013,GTA_MT_0033,41.88750618464173
tier1_to_nearest_direct,SH_MT_01,2014,GTA_MT_0037,44.50015103755319
tier1_to_nearest_direct,SH_MT_01,2014,GTA_MT_0062,186.8239771551706
tier1_to_nearest_direct,SH_MT_01,2015,GTA_MT_0001,5.823562252431942
tier1_to_nearest_direct,SH_MT_01,2015,GTA_MT_0041,48.04041172766168
tier1_to_nearest_direct,SH_MT_01,2015,GTA_MT_0066,16.652246000663443
tier1_to_nearest_direct,SH_MT_01,2016,GTA_MT_0005,47.273910383911854
tier1_to_nearest_direct,SH_MT_01,2016,GTA_MT_0045,46.217638166311424
tier1_to_nearest_direct,SH_MT_01,2017,GTA_MT_0009,44.50015103755319
tier1_to_nearest_direct,SH_MT_01,2017,GTA_MT_0034,177.5911655849789
tier1_to_nearest_direct,SH_MT_01,2017,GTA_MT_0049,69.46982330678547
tier1_to_nearest_direct,SH_MT_01,2017,GTA_MT_0069,5.823562252431942
tier1_to_nearest_direct,SH_MT_01,2018,GTA_MT_0033,41.88750618464173
tier1_to_nearest_direct,SH_MT_02,2013,GTA_MT_0033,41.88750618464173
tier1_to_nearest_direct,SH_MT_02,2013,GTA_MT_0038,47.17573054512581
tier1_to_nearest_direct,SH_MT_02,2013,GTA_MT_0058,6.287786530359296
tier1_to_nearest_direct,SH_MT_02,2014,GTA_MT_0002,64.43716428494704
tier1_to_nearest_direct,SH_MT_02,2014,GTA_MT_0022,50.734779108936635
tier1_to_nearest_direct,SH_MT_02,2014,GTA_MT_0037,44.50015103755319
tier1_to_nearest_direct,SH_MT_02,2014,GTA_MT_0042,14.446690649544683
tier1_to_nearest_direct,SH_MT_02,2015,GTA_MT_0001,5.823562252431942
tier1_to_nearest_direct,SH_MT_02,2015,GTA_MT_0006,35.37448554398494
tier1_to_nearest_direct,SH_MT_02,2015,GTA_MT_0041,48.04041172766168
tier1_to_nearest_direct,SH_MT_02,2016,GTA_MT_0005,47.273910383911854
tier1_to_nearest_direct,SH_MT_02,2016,GTA_MT_0010,15.853053166133538
tier1_to_nearest_direct,SH_MT_02,2016,GTA_MT_0045,46.217638166311424
tier1_to_nearest_direct,SH_MT_02,2016,GTA_MT_0070,26.96965788335984
tier1_to_nearest_direct,SH_MT_02,2017,GTA_MT_0009,44.50015103755319
tier1_to_nearest_direct,SH_MT_02,2017,GTA_MT_0049,68.7148223638958
tier1_to_nearest_direct,SH_MT_02,2017,GTA_MT_0054,6.287786530359296
tier1_to_nearest_direct,SH_MT_02,2017,GTA_MT_0069,5.823562252431942
tier1_to_nearest_direct,SH_MT_02,2018,GTA_MT_0033,41.88750618464173
tier1_to_nearest_direct,SH_MT_02,2018,GTA_MT_0038,47.17573054512581
tier1_to_nearest_direct,SH_MT_02,2018,GTA_MT_0058,6.287786530359296
tier1_to_nearest_direct,SH_MT_03,2013,GTA_MT_0003,50.71124011892917
tier1_to_nearest_direct,SH_MT_03,2013,GTA_MT_0023,83.55336449331081
tier1_to_nearest_direct,SH_MT_03,2013,GTA_MT_0043,26.266284475965897
tier1_to_nearest_direct,SH_MT_03,2013,GTA_MT_0063,29.669203865981594
tier1_to_nearest_direct,SH_MT_03,2014,GTA_MT_0027,75.01982464046539
tier1_to_nearest_direct,SH_MT_03,2014,GTA_MT_0047,54.599909989255195
tier1_to_nearest_direct,SH_MT_03,2014,GTA_MT_0052,60.459130963277744
tier1_to_nearest_direct,SH_MT_03,2014,GTA_MT_0067,50.03155212851966
tier1_to_nearest_direct,SH_MT_03,2015,GTA_MT_0051,6.889188860806884
tier1_to_nearest_direct,SH_MT_03,2015,GTA_MT_0071,43.896423239138315
tier1_to_nearest_direct,SH_MT_03,2016,GTA_MT_0040,29.49660000215189
tier1_to_nearest_direct,SH_MT_03,2016,GTA_MT_0055,6.889188860806884
