zone_type,state,inspection_type,supplier_type,count,mean,median,min,max
CA_direct,MT,OTH,direct,6,1421124.9863023728,1266924.3521667512,774462.7033098415,2235843.1976868887
CA_direct,MT,SIF,direct,6,4060750.695016103,4992821.828529944,1452547.8261868495,5785167.529595604
CA_direct,PA,SIE,direct,6,723451.4642152083,638441.8433506786,314909.7409501475,1449989.525877466
CA_direct,PA,SIF,direct,6,198254.02538791831,129444.07793899425,69679.50600798128,526791.380524756
CA_direct,RO,SIE,direct,6,1534984.5057397876,1943216.3729669424,421034.7669147203,2248921.3229278657
CA_direct,RO,SIF,direct,6,842075.1985627548,727050.3641069543,145026.3760403459,1709020.7461858485
CA_tier1_indirect,MT,OTH,tier1_indirect,6,18944.6461051821,20592.86068904745,1450.378474255652,28948.228938771994
CA_tier1_indirect,MT,SIF,tier1_indirect,6,44094.51563631069,24398.825910572636,10342.824596261633,137223.3264246447
CA_tier1_indirect,PA,SIE,tier1_indirect,6,370542.9510163157,276399.88520627125,13620.023406371964,817233.1434074162
CA_tier1_indirect,PA,SIF,tier1_indirect,6,4245.250810638679,5044.257157827377,1265.7198955140984,5422.200455148804
CA_tier1_indirect,RO,SIE,tier1_indirect,5,22136.122311380073,15704.47552086907,8930.7155392412,35977.689654214824
CA_tier1_indirect,RO,SIF,tier1_indirect,6,64543.1311579523,23755.427842635054,13459.604477127701,163732.91811327523
non_CA_direct,MT,SIE,direct,6,841903.5788335172,687746.8589521032,95790.59907080738,1930511.3258333858
non_CA_direct,MT,SIF,direct,6,1119826.6657126425,1139145.651283538,333227.5834130048,1897381.8902325446
non_CA_direct,PA,OTH,direct,6,1211594.5730916092,1331421.3099098653,464217.85412030725,1851670.88835872
non_CA_direct,PA,SIF,direct,6,1616340.226738497,991080.0129625053,366221.00834569376,3484354.3953286726
non_CA_direct,RO,OTH,direct,6,1130448.7229891426,946341.6707944385,144323.85033916446,2509799.3519178517
non_CA_direct,RO,SIF,direct,6,2593993.514612109,2979549.024004669,1094822.1473866417,3079684.7325254567
non_CA_tier1_indirect,MT,SIE,tier1_indirect,6,18740.47101070588,18653.331125729324,10813.206752367978,28434.924573359764
non_CA_tier1_indirect,MT,SIF,tier1_indirect,6,156553.95263235553,22838.009642329464,7462.152645228022,832643.1129071789
non_CA_tier1_indirect,PA,OTH,tier1_indirect,6,65010.60700024725,51945.029152012154,3242.268614011294,186726.99726221935
non_CA_tier1_indirect,PA,SIF,tier1_indirect,6,53621.87241955893,30501.0928957679,1161.8501410674226,123181.24967294035
non_CA_tier1_indirect,RO,OTH,tier1_indirect,6,19344.61527207497,20500.565119757215,10888.446276497223,28140.893030554824
non_CA_tier1_indirect,RO,SIF,tier1_indirect,6,101983.27314742922,41573.08281116137,26640.55246116807,338180.76852643635
